曲柄转角(度),时间(s),滑块6位移(mm),滑块6速度(mm/s),滑块6加速度(mm/s²)
104.28969359331475,0.3547268489568529,-258.3689814767628,-406.7685251737108,542.9721059810225
105.29247910863509,0.3581376840429765,-259.74940678415373,-404.86203635184006,577.9657088072267
106.29526462395542,0.3615485191291001,-261.1231449893604,-402.8367856580154,612.7967059353952
107.29805013927576,0.3649593542152237,-262.48979308114707,-400.6933512774496,647.4503683964617
108.30083565459609,0.3683701893013473,-263.8489501000914,-398.4323613832095,681.9120307970054
109.30362116991643,0.37178102438747085,-265.20021730824374,-396.054493925089,716.167088543513
110.30640668523677,0.37519185947359446,-266.54319835808514,-393.5604764271312,750.2009956208309
111.30919220055709,0.37860269455971807,-267.87749946080925,-390.951085791614,783.9992630039725
112.31197771587743,0.3820135296458416,-269.2027295539465,-388.2271481073763,817.5474578436313
113.31476323119776,0.3854243647319652,-270.51850046834244,-385.38953845934435,850.8312036796982
114.31754874651809,0.3888351998180888,-271.8244270944862,-382.43918073540556,883.8361818843097
115.32033426183843,0.39224603490421234,-273.1201275481751,-379.37704742611777,916.5481346163147
116.32311977715878,0.395656869990336,-274.40522333548023,-376.204159411485,948.952869657823
117.32590529247909,0.39906770507645956,-275.67933951696074,-372.92158572776526,981.0362676210436
118.32869080779942,0.4024785401625831,-276.9421048710433,-369.5304433052194,1012.784292050815
119.33147632311977,0.4058893752487067,-278.193152056452,-366.03189666619505,1044.183003075375
120.33426183844009,0.4093002103348303,-279.4321177735344,-362.4271575700128,1075.2185754978307
121.33704735376044,0.4127110454209539,-280.6586429242752,-358.7174845879785,1105.877322344338
122.33983286908077,0.41612188050707744,-281.87237277073154,-354.9041825880785,1136.1457251488973
123.3426183844011,0.4195327155932011,-283.07295709154107,-350.9886021039724,1166.0104725365761
124.34540389972143,0.4229435506793246,-284.26005033606464,-346.9721385572175,1195.458509057998
125.34818941504177,0.42635438576544826,-285.4333117756038,-342.85623129405406,1224.4770966693916
126.3509749303621,0.4297652208515718,-286.5924056509902,-338.6423623893985,1253.0538918558457
127.35376044568245,0.4331760559376954,-287.7370013156677,-334.33205515898027,1281.1770420515695
128.35654596100278,0.436586891023819,-288.86677337316013,-329.926872307415,1308.8353059106214
129.3593314763231,0.43999772610994253,-289.9814018075549,-325.42841362217337,1336.0182031630973
130.36211699164343,0.44340856119606614,-291.08057210528375,-320.8383131022239,1362.7162010669033
131.36490250696377,0.4468193962821897,-292.16397536607343,-316.158235383623,1388.9209463341087
132.3676880222841,0.45023023136831336,-293.23130840041046,-311.3898712904272,1414.625553560441
133.37047353760443,0.4536410664544369,-294.282273810226,-306.5349322981778,1439.8249639862813
134.3732590529248,0.4570519015405605,-295.31658004869735,-301.59514364426207,1464.516392013567
135.3760445682451,0.4604627366266841,-296.3339414540645,-296.5722357538678,1488.6998814015174
136.37883008356545,0.4638735717128077,-297.33407825110464,-291.4679335667007,1512.378998828979
137.3816155988858,0.46728440679893124,-298.3167165123414,-286.2839432448271,1535.5616998990326
138.38440111420613,0.4706952418850549,-299.28158806909664,-281.0219356082039,1558.261412198092
139.38718662952644,0.4741060769711784,-300.2284303600162,-275.68352547477207,1580.498392158502
