曲柄转角(度),时间(s),工作阻力(N),O1水平反力(N),O1垂直反力(N),O1反力大小(N),O2水平反力(N),O2垂直反力(N),O2反力大小(N),平衡力矩(N·m)
46.12813370473537,0.15689841396168494,6343.845226174921,-3806.3537972091863,-446.35499999999996,3832.435520077773,-2537.5691981394575,-191.295,2544.769382944382,375.0043778182172
47.1309192200557,0.16030924904780852,6449.609212712486,-3869.8116246459967,-446.35499999999996,3895.4684950940486,-2579.8744164306645,-191.295,2586.9568573090783,387.6126861056674
48.13370473537604,0.16372008413393213,6553.397625919543,-3932.0840703664144,-446.35499999999996,3957.33722627404,-2621.3893802442763,-191.295,2628.359956300216,400.1881450408464
49.136490250696376,0.1671309192200557,6655.178674471319,-3993.1520605603523,-446.35499999999996,4018.0214241318313,-2662.101373706902,-191.295,2668.96562377959,412.7153478987843
50.13927576601671,0.1705417543061793,6754.921181916894,-4052.996890342668,-446.35499999999996,4077.501266603401,-2701.997926895112,-191.295,2708.761077313849,425.17894707506605
51.14206128133704,0.17395258939230288,6852.594596228831,-4111.600229481115,-446.35499999999996,4135.757395338145,-2741.0668196540773,-191.295,2747.733809311506,437.56367288882905
52.144846796657376,0.17736342447842646,6948.168999161534,-4168.944128009733,-446.35499999999996,4192.770912951461,-2779.296085339822,-191.295,2785.871588392089,449.8543522902921
53.14763231197771,0.18077425956455004,7041.615115415483,-4225.011021725938,-446.35499999999996,4248.523381097326,-2816.6740144839587,-191.295,2823.1624609459122,462.03592744990004
54.15041782729804,0.18418509465067365,7132.90432160451,-4279.783737569619,-446.35499999999996,4302.996819240095,-2853.189158379746,-191.295,2859.594752848858,474.09347420630365
55.15320334261838,0.18759592973679723,7222.008655023409,-4333.245498882595,-446.35499999999996,4356.1737040218295,-2888.8303325883967,-191.295,2895.157071301622,486.0122203505805
56.155988857938716,0.1910067648229208,7308.900822213161,-4385.379930546785,-446.35499999999996,4408.036969135754,-2923.5866203645232,-191.295,2929.8383067670225,497.77756372429025
57.15877437325904,0.1944175999090444,7393.554207321166,-4436.171063999528,-446.35499999999996,4458.570005628677,-2957.4473759996854,-191.295,2963.627634982577,509.3750901091949
58.16155988857939,0.197828434995168,7475.942880253922,-4485.603342124494,-446.35499999999996,4507.7566625654745,-2990.402228082996,-191.295,2996.5145190285234,520.7905908867255
59.16434540389971,0.20123927008129155,7556.041604619635,-4533.661624016672,-446.35499999999996,4555.581247997503,-3022.4410826777817,-191.295,3028.488711434045,532.0100804455585
60.16713091922004,0.20465010516741514,7633.825845458368,-4580.33118961999,-446.35499999999996,4602.028530184344,-3053.554126413327,-191.295,3059.5402563066327,543.0198133159807
61.16991643454038,0.20806094025353872,7709.2717767573085,-4625.5977442361,-446.35499999999996,4647.083739024626,-3083.7318294907336,-191.295,3089.659491471393,553.8063010100406
62.172701949860716,0.2114717753396623,7782.356288748894,-4669.447422902968,-446.35499999999996,4690.732567657228,-3112.964948601979,-191.295,3118.8370506086912,564.3563285468655
63.17548746518105,0.2148826104257859,7853.0569949895425,-4711.8667946419055,-446.35499999999996,4732.961174198874,-3141.2445297612708,-191.295,3147.0638653799365,574.6569706428913
64.17827298050139,0.2182934455119095,7921.352239216822,-4752.842866571737,-446.35499999999996,4773.756183588229,-3168.561911047825,-191.295,3174.3311675324685,584.6956075471727
65.18105849582172,0.22170428059803307,7987.221101982958,-4792.363087888828,-446.35499999999996,4813.1046895101235,-3194.908725259219,-191.295,3200.630490975565,594.4599405023719
66.18384401114206,0.22511511568415668,8050.643407062647,-4830.41535371176,-446.35499999999996,4850.994256376656,-3220.276902474507,-191.295,3225.953673820473,603.9380068124847
67.1866295264624,0.22852595077028026,8111.599727633218,-4866.988008789462,-446.35499999999996,4887.412921344523,-3244.6586725263082,-191.295,3250.292860378151,613.1181944988434
68.18941504178272,0.23193678585640384,8170.071392225242,-4902.0698510716475,-446.35499999999996,4922.349196350317,-3268.0465673810986,-191.295,3273.6405031090967,621.989256526443
69.19220055710306,0.23534762094252745,8226.04049044177,-4935.650135140476,-446.35499999999996,4955.792070147536,-3290.433423426984,-191.295,3295.989364520223,630.540324583156
70.19498607242339,0.23875845602865098,8279.48987844445,-4967.718575502365,-446.35499999999996,4987.731010330875,-3311.8123836682435,-191.295,3317.332519004288,638.760922394961
71.19777158774372,0.2421692911147746,8330.403184204843,-4998.26534973896,-446.35499999999996,5018.155965334889,-3332.176899825974,-191.295,3337.663354617844,646.6409785608677
72.20055710306406,0.24558012620089817,8378.764812519315,-5027.281101516264,-446.35499999999996,5047.057366395549,-3351.520734344176,-191.295,3356.975574794062,654.1708388918149
73.2033426183844,0.24899096128702175,8424.559949785993,-5054.756943451026,-446.35499999999996,5074.42612946443,-3369.837962300684,-191.295,3375.2631999871987,661.3412782384239
